model_name,task,metric,n_items,legacy_mean,corrected_mean,corrected_minus_legacy,bootstrap_ci_low,bootstrap_ci_high,ci_excludes_zero,material_threshold,material_supported_change
llama3_8b,TruthfulQA,positive_slope,30,1.2499999999999996,1.1944444444444438,-0.0555555555555555,-0.3333333333333332,0.2222222222222221,False,0.2499999999999999,False
llama3_8b,TruthfulQA,alpha0_accuracy_all,30,0.7666666666666665,0.7888888888888889,0.0222222222222222,-0.0444444444444444,0.0888888888888888,False,0.05,False
llama3_8b,TruthfulQA,alpha0_strict_json_rate,30,1.0,1.0,0.0,0.0,0.0,False,0.05,False
llama3_8b,TruthfulQA,alpha0_answer_parse_rate,30,1.0,1.0,0.0,0.0,0.0,False,0.05,False
llama3_8b,TruthfulQA,alpha0_mean_generated_tokens,30,97.14444444444445,95.85555555555554,-1.2888888888888883,-9.03361111111111,5.189166666666664,False,inf,False
llama3_8b,alphabetical_think_answer,positive_slope,30,1.4999999999999998,1.472222222222222,-0.0277777777777777,-0.3055555555555554,0.2222222222222221,False,0.3,False
llama3_8b,alphabetical_think_answer,alpha0_accuracy_all,30,0.8,0.7666666666666668,-0.0333333333333333,-0.1,0.0333333333333333,False,0.05,False
llama3_8b,alphabetical_think_answer,alpha0_strict_json_rate,30,0.9111111111111112,0.9666666666666668,0.0555555555555555,0.0,0.1333333333333333,False,0.05,False
llama3_8b,alphabetical_think_answer,alpha0_answer_parse_rate,30,1.0,1.0,0.0,0.0,0.0,False,0.05,False
llama3_8b,alphabetical_think_answer,alpha0_mean_generated_tokens,30,83.32222222222222,87.00000000000001,3.677777777777778,-1.4558333333333326,9.611388888888886,False,inf,False
qwen25_14b,TruthfulQA,positive_slope,30,1.472222222222222,1.4166666666666663,-0.0555555555555555,-0.2222222222222221,0.111111111111111,False,0.2944444444444444,False
qwen25_14b,TruthfulQA,alpha0_accuracy_all,30,0.8222222222222222,0.8111111111111112,-0.0111111111111111,-0.0888888888888888,0.0666666666666666,False,0.05,False
qwen25_14b,TruthfulQA,alpha0_strict_json_rate,30,1.0,1.0,0.0,0.0,0.0,False,0.05,False
qwen25_14b,TruthfulQA,alpha0_answer_parse_rate,30,1.0,1.0,0.0,0.0,0.0,False,0.05,False
qwen25_14b,TruthfulQA,alpha0_mean_generated_tokens,30,83.75555555555557,80.2111111111111,-3.544444444444443,-9.28888888888889,1.9888888888888896,False,inf,False
qwen25_14b,alphabetical_think_answer,positive_slope,30,0.6666666666666664,0.5555555555555555,-0.1111111111111111,-0.4166666666666666,0.1944444444444443,False,0.1333333333333332,False
