model_name,task,temperature,alpha_norm,n_items,n_rows,alpha_raw,positive_rate,bootstrap_ci_low,bootstrap_ci_high,accuracy_all,strict_json_rate,answer_parse_rate,truncation_rate
llama3_8b,TruthfulQA,0.0,-0.6,30,30,-2.579999999999999,0.06666666666666667,0.0,0.16666666666666666,0.5,1.0,1.0,0.0
llama3_8b,TruthfulQA,0.0,-0.2,30,30,-0.8599999999999999,0.3,0.13333333333333333,0.4666666666666667,0.7333333333333333,1.0,1.0,0.0
llama3_8b,TruthfulQA,0.0,0.0,30,30,0.0,0.5666666666666667,0.4,0.7333333333333333,0.7333333333333333,1.0,1.0,0.0
llama3_8b,TruthfulQA,0.0,0.2,30,30,0.33999999999999997,0.7,0.5333333333333333,0.8666666666666667,0.7333333333333333,1.0,1.0,0.0
llama3_8b,TruthfulQA,0.0,0.6,30,30,1.02,1.0,1.0,1.0,0.5666666666666667,1.0,1.0,0.0
llama3_8b,TruthfulQA,0.2,-0.6,30,90,-2.5799999999999996,0.1,0.0,0.2,0.5333333333333333,0.9888888888888889,0.9888888888888889,0.011111111111111112
llama3_8b,TruthfulQA,0.2,-0.2,30,90,-0.8600000000000001,0.26666666666666666,0.14444444444444443,0.4,0.6777777777777778,1.0,1.0,0.0
llama3_8b,TruthfulQA,0.2,0.0,30,90,0.0,0.6,0.4444444444444444,0.7555555555555556,0.7666666666666667,1.0,1.0,0.0
llama3_8b,TruthfulQA,0.2,0.2,30,90,0.3399999999999999,0.7666666666666667,0.6222222222222222,0.888888888888889,0.7222222222222222,0.9888888888888889,0.9888888888888889,0.011111111111111112
llama3_8b,TruthfulQA,0.2,0.6,30,90,1.0199999999999996,0.9777777777777777,0.9444444444444444,1.0,0.5666666666666667,1.0,1.0,0.0
llama3_8b,TruthfulQA,1.0,-0.6,30,90,-2.5799999999999996,0.04444444444444444,0.0,0.1,0.4777777777777778,0.9666666666666667,0.9888888888888889,0.0
llama3_8b,TruthfulQA,1.0,-0.2,30,90,-0.8600000000000001,0.25555555555555554,0.13333333333333333,0.3888888888888889,0.6555555555555556,0.9555555555555556,0.9777777777777777,0.0
llama3_8b,TruthfulQA,1.0,0.0,30,90,0.0,0.6166666666666666,0.4666666666666667,0.7555555555555554,0.7222222222222222,0.9444444444444444,0.9666666666666667,0.0
llama3_8b,TruthfulQA,1.0,0.2,30,90,0.3399999999999999,0.7277777777777777,0.5888888888888888,0.8555555555555556,0.7555555555555555,0.9555555555555556,0.9777777777777777,0.0
llama3_8b,TruthfulQA,1.0,0.6,30,90,1.0199999999999996,0.9222222222222223,0.8333333333333335,0.9888888888888888,0.6222222222222222,1.0,1.0,0.0
llama3_8b,alphabetical_think_answer,0.0,-0.6,30,30,-2.579999999999999,0.0,0.0,0.0,0.5,0.9666666666666667,1.0,0.0
llama3_8b,alphabetical_think_answer,0.0,-0.2,30,30,-0.8599999999999999,0.03333333333333333,0.0,0.1,0.5333333333333333,1.0,1.0,0.0
llama3_8b,alphabetical_think_answer,0.0,0.0,30,30,0.0,0.7,0.5333333333333333,0.8666666666666667,0.7333333333333333,1.0,1.0,0.0
llama3_8b,alphabetical_think_answer,0.0,0.2,30,30,0.33999999999999997,0.7,0.5333333333333333,0.8666666666666667,0.6666666666666666,1.0,1.0,0.0
llama3_8b,alphabetical_think_answer,0.0,0.6,30,30,1.02,0.6,0.43333333333333335,0.7666666666666667,0.6333333333333333,0.9666666666666667,1.0,0.0
llama3_8b,alphabetical_think_answer,0.2,-0.6,30,90,-2.5799999999999996,0.01111111111111111,0.0,0.03333333333333333,0.5111111111111111,0.8888888888888888,1.0,0.0
llama3_8b,alphabetical_think_answer,0.2,-0.2,30,90,-0.8600000000000001,0.03333333333333333,0.0,0.06666666666666667,0.5333333333333333,0.9777777777777777,1.0,0.0
llama3_8b,alphabetical_think_answer,0.2,0.0,30,90,0.0,0.5888888888888888,0.4444444444444444,0.7333333333333332,0.8,0.9111111111111111,1.0,0.0
llama3_8b,alphabetical_think_answer,0.2,0.2,30,90,0.3399999999999999,0.6333333333333332,0.47777777777777775,0.7888888888888889,0.7111111111111111,0.9444444444444444,1.0,0.0
llama3_8b,alphabetical_think_answer,0.2,0.6,30,90,1.0199999999999996,0.7,0.5444444444444444,0.8444444444444444,0.7111111111111111,0.9666666666666667,1.0,0.0
llama3_8b,alphabetical_think_answer,1.0,-0.6,30,90,-2.5799999999999996,0.0,0.0,0.0,0.4666666666666667,0.7888888888888889,0.9666666666666667,0.03333333333333333
llama3_8b,alphabetical_think_answer,1.0,-0.2,30,90,-0.8600000000000001,0.05555555555555555,0.0,0.12222222222222222,0.5555555555555556,0.8222222222222222,1.0,0.0
llama3_8b,alphabetical_think_answer,1.0,0.0,30,90,0.0,0.5333333333333333,0.3888888888888889,0.6777777777777776,0.7888888888888889,0.9111111111111111,1.0,0.0
llama3_8b,alphabetical_think_answer,1.0,0.2,30,90,0.3399999999999999,0.5666666666666667,0.43333333333333335,0.688888888888889,0.6777777777777778,0.8888888888888888,0.9888888888888889,0.0
llama3_8b,alphabetical_think_answer,1.0,0.6,30,90,1.0199999999999996,0.7777777777777776,0.6555555555555554,0.8888888888888888,0.6777777777777778,0.9444444444444444,1.0,0.0
qwen25_14b,TruthfulQA,0.0,-0.6,30,30,-25.139999999999993,0.0,0.0,0.0,0.43333333333333335,1.0,1.0,0.0
qwen25_14b,TruthfulQA,0.0,-0.2,30,30,-8.379999999999999,0.2,0.06666666666666667,0.36666666666666664,0.6333333333333333,0.9333333333333333,1.0,0.0
qwen25_14b,TruthfulQA,0.0,0.0,30,30,0.0,0.5333333333333333,0.36666666666666664,0.7,0.9,0.9333333333333333,1.0,0.0
qwen25_14b,TruthfulQA,0.0,0.2,30,30,11.600000000000005,0.7666666666666667,0.6,0.9,0.7333333333333333,0.9333333333333333,1.0,0.0
qwen25_14b,TruthfulQA,0.0,0.6,30,30,34.79999999999999,1.0,1.0,1.0,0.5666666666666667,0.9666666666666667,1.0,0.0
qwen25_14b,TruthfulQA,0.2,-0.6,30,90,-25.13999999999999,0.0,0.0,0.0,0.43333333333333335,0.9777777777777777,1.0,0.0
qwen25_14b,TruthfulQA,0.2,-0.2,30,90,-8.379999999999999,0.18888888888888886,0.06666666666666667,0.3333333333333333,0.6111111111111112,0.9555555555555556,0.9666666666666667,0.0
qwen25_14b,TruthfulQA,0.2,0.0,30,90,0.0,0.611111111111111,0.43333333333333335,0.7777777777777778,0.8222222222222222,1.0,1.0,0.0
qwen25_14b,TruthfulQA,0.2,0.2,30,90,11.599999999999998,0.7777777777777778,0.6333333333333332,0.9111111111111111,0.7222222222222222,0.9333333333333333,1.0,0.0
qwen25_14b,TruthfulQA,0.2,0.6,30,90,34.80000000000001,0.9888888888888888,0.9666666666666667,1.0,0.5555555555555556,0.8333333333333334,1.0,0.0
qwen25_14b,TruthfulQA,1.0,-0.6,30,90,-25.13999999999999,0.0,0.0,0.0,0.43333333333333335,1.0,1.0,0.0
qwen25_14b,TruthfulQA,1.0,-0.2,30,90,-8.379999999999999,0.3,0.15555555555555556,0.4444444444444444,0.7111111111111111,0.9555555555555556,1.0,0.0
qwen25_14b,TruthfulQA,1.0,0.0,30,90,0.0,0.5333333333333333,0.3666666666666666,0.7,0.8333333333333334,0.9111111111111111,1.0,0.0
qwen25_14b,TruthfulQA,1.0,0.2,30,90,11.599999999999998,0.7777777777777779,0.6444444444444444,0.9,0.7222222222222222,0.8777777777777778,1.0,0.0
qwen25_14b,TruthfulQA,1.0,0.6,30,90,34.80000000000001,1.0,1.0,1.0,0.5666666666666667,0.8444444444444444,1.0,0.0
qwen25_14b,alphabetical_think_answer,0.0,-0.6,30,30,-25.139999999999993,0.0,0.0,0.0,0.5,1.0,1.0,0.0
qwen25_14b,alphabetical_think_answer,0.0,-0.2,30,30,-8.379999999999999,0.5333333333333333,0.36666666666666664,0.7,0.9666666666666667,1.0,1.0,0.0
qwen25_14b,alphabetical_think_answer,0.0,0.0,30,30,0.0,0.5666666666666667,0.4,0.7333333333333333,0.9333333333333333,1.0,1.0,0.0
qwen25_14b,alphabetical_think_answer,0.0,0.2,30,30,11.600000000000005,0.8333333333333334,0.7,0.9666666666666667,0.6,1.0,1.0,0.0
qwen25_14b,alphabetical_think_answer,0.0,0.6,30,30,34.79999999999999,0.9666666666666667,0.9,1.0,0.5333333333333333,0.9666666666666667,1.0,0.0
qwen25_14b,alphabetical_think_answer,0.2,-0.6,30,90,-25.13999999999999,0.0,0.0,0.0,0.5,1.0,1.0,0.0
qwen25_14b,alphabetical_think_answer,0.2,-0.2,30,90,-8.379999999999999,0.5,0.3333333333333333,0.6666666666666666,0.9555555555555556,1.0,1.0,0.0
qwen25_14b,alphabetical_think_answer,0.2,0.0,30,90,0.0,0.5222222222222223,0.34444444444444444,0.7,0.9777777777777777,1.0,1.0,0.0
qwen25_14b,alphabetical_think_answer,0.2,0.2,30,90,11.599999999999998,0.7666666666666667,0.6333333333333333,0.8777777777777779,0.7333333333333333,1.0,1.0,0.0
