model_name,task,temperature,outcome,n_items,mean_alignment_slope,bootstrap_ci_low,bootstrap_ci_high,ci_excludes_zero
llama3_8b,TruthfulQA,0.0,factual_correctness_score,30,0.6583333333333332,0.2999999999999999,0.9999999999999998,True
llama3_8b,TruthfulQA,0.0,logical_consistency_score,30,0.8166666666666665,0.4999999999999999,1.1166666666666665,True
llama3_8b,TruthfulQA,0.0,reasoning_structure_score,30,0.1750000000000001,0.025000000000000213,0.3333333333333333,True
llama3_8b,TruthfulQA,0.0,sound_reasoning,30,0.5583333333333331,0.39999999999999986,0.6999999999999997,True
llama3_8b,TruthfulQA,0.2,factual_correctness_score,30,0.733333333333333,0.5055555555555553,0.9499999999999995,True
llama3_8b,TruthfulQA,0.2,logical_consistency_score,30,0.8930555555555553,0.6374999999999998,1.1444444444444437,True
llama3_8b,TruthfulQA,0.2,reasoning_structure_score,30,0.24444444444444446,0.1277777777777779,0.3638888888888889,True
llama3_8b,TruthfulQA,0.2,sound_reasoning,30,0.5708333333333331,0.44999999999999984,0.6861111111111107,True
llama3_8b,TruthfulQA,1.0,factual_correctness_score,30,0.6611111111111109,0.45555555555555544,0.8472916666666654,True
llama3_8b,TruthfulQA,1.0,logical_consistency_score,30,0.9013888888888885,0.7055555555555554,1.093055555555555,True
llama3_8b,TruthfulQA,1.0,reasoning_structure_score,30,0.2236111111111111,0.08888888888888899,0.37499999999999994,True
llama3_8b,TruthfulQA,1.0,sound_reasoning,30,0.4958333333333332,0.39583333333333315,0.5944444444444443,True
llama3_8b,alphabetical_think_answer,0.0,factual_correctness_score,30,-0.1833333333333332,-0.5333333333333331,0.15000000000000005,False
llama3_8b,alphabetical_think_answer,0.0,logical_consistency_score,30,0.46666666666666656,-0.05020833333333308,0.9833333333333331,False
llama3_8b,alphabetical_think_answer,0.0,reasoning_structure_score,30,-0.09166666666666634,-0.18333333333333307,-0.0166666666666664,True
llama3_8b,alphabetical_think_answer,0.0,sound_reasoning,30,0.3333333333333332,0.13333333333333333,0.5333333333333332,True
llama3_8b,alphabetical_think_answer,0.2,factual_correctness_score,30,-0.01111111111111104,-0.2888888888888887,0.24444444444444421,False
llama3_8b,alphabetical_think_answer,0.2,logical_consistency_score,30,0.39722222222222225,-0.08055555555555541,0.8972222222222218,False
