item_id,condition,alpha_norm,verdict_valid,verdict_strong,model_name,target_layer,pre_addition_vaa_projection_unit_z_baseline
arg_01cdeb48466c30f9,baseline,0.0,True,1.0,qwen25_3b,26,0.0360470913296615
arg_01cdeb48466c30f9,user_like,0.0,True,1.0,qwen25_3b,26,-0.4973562922210066
arg_01cdeb48466c30f9,user_dislike,0.0,True,1.0,qwen25_3b,26,-0.5064931325379125
arg_029647e3512ee027,baseline,0.0,True,1.0,qwen25_3b,26,-0.398302493888934
arg_029647e3512ee027,user_like,0.0,True,1.0,qwen25_3b,26,-0.0172955208376873
arg_029647e3512ee027,user_dislike,0.0,True,0.0,qwen25_3b,26,-0.8657747477945477
arg_02ed4c275e29ae31,baseline,0.0,True,1.0,qwen25_3b,26,0.1446988470627427
arg_02ed4c275e29ae31,user_like,0.0,True,1.0,qwen25_3b,26,0.6698095318124291
arg_02ed4c275e29ae31,user_dislike,0.0,True,0.0,qwen25_3b,26,-1.051539970925104
arg_0322fe6052d9a88b,baseline,0.0,True,1.0,qwen25_3b,26,0.8099582858594127
arg_0322fe6052d9a88b,user_like,0.0,True,1.0,qwen25_3b,26,0.7320942797085626
arg_0322fe6052d9a88b,user_dislike,0.0,True,0.0,qwen25_3b,26,-0.4130701969176487
arg_03f334ec2e3e1a10,baseline,0.0,True,0.0,qwen25_3b,26,-0.8958511103580611
arg_03f334ec2e3e1a10,user_like,0.0,True,0.0,qwen25_3b,26,-0.0768513325947894
arg_03f334ec2e3e1a10,user_dislike,0.0,True,0.0,qwen25_3b,26,-1.006559265778923
arg_0454e2123a637c9f,baseline,0.0,True,0.0,qwen25_3b,26,-0.4189770492420704
arg_0454e2123a637c9f,user_like,0.0,True,1.0,qwen25_3b,26,0.7122845861739995
arg_0454e2123a637c9f,user_dislike,0.0,True,0.0,qwen25_3b,26,-1.3042092443069415
arg_045994ef83f0b981,baseline,0.0,True,1.0,qwen25_3b,26,-0.2249628869031911
arg_045994ef83f0b981,user_like,0.0,True,1.0,qwen25_3b,26,0.1612752096490163
arg_045994ef83f0b981,user_dislike,0.0,True,0.0,qwen25_3b,26,-1.148533514629368
arg_05025ed151a2f2f6,baseline,0.0,True,0.0,qwen25_3b,26,-2.3505963338477582
arg_05025ed151a2f2f6,user_like,0.0,True,0.0,qwen25_3b,26,-2.932393038320907
arg_05025ed151a2f2f6,user_dislike,0.0,True,0.0,qwen25_3b,26,-1.8481039374933343
arg_0543c2e4d20ad5a2,baseline,0.0,True,1.0,qwen25_3b,26,1.383622994343987
arg_0543c2e4d20ad5a2,user_like,0.0,True,1.0,qwen25_3b,26,1.5516956088164795
arg_0543c2e4d20ad5a2,user_dislike,0.0,True,0.0,qwen25_3b,26,-0.0673611930476825
arg_06fa1cde8b0afc51,baseline,0.0,True,1.0,qwen25_3b,26,1.2956141111756891
arg_06fa1cde8b0afc51,user_like,0.0,True,1.0,qwen25_3b,26,1.5480987088368214
arg_06fa1cde8b0afc51,user_dislike,0.0,True,0.0,qwen25_3b,26,-0.2199758292927383
arg_0a7506ce84505fc3,baseline,0.0,True,0.0,qwen25_3b,26,-0.771859012301828
arg_0a7506ce84505fc3,user_like,0.0,True,1.0,qwen25_3b,26,0.3640184018132703
arg_0a7506ce84505fc3,user_dislike,0.0,True,0.0,qwen25_3b,26,-1.7706042231751082
arg_0ace2eb7cf8a7d72,baseline,0.0,True,1.0,qwen25_3b,26,0.1020827561062501
arg_0ace2eb7cf8a7d72,user_like,0.0,True,1.0,qwen25_3b,26,0.5131857880552145
arg_0ace2eb7cf8a7d72,user_dislike,0.0,True,0.0,qwen25_3b,26,-1.7034957406354796
arg_0b47ba028e3d6b75,baseline,0.0,True,0.0,qwen25_3b,26,-2.737082742747848
arg_0b47ba028e3d6b75,user_like,0.0,True,0.0,qwen25_3b,26,-2.237118464250384
arg_0b47ba028e3d6b75,user_dislike,0.0,True,0.0,qwen25_3b,26,-2.423641183096396
arg_0b4d48f05218a922,baseline,0.0,True,1.0,qwen25_3b,26,1.171786811805643
arg_0b4d48f05218a922,user_like,0.0,True,1.0,qwen25_3b,26,1.3889560629386508
arg_0b4d48f05218a922,user_dislike,0.0,True,0.0,qwen25_3b,26,-0.4738338396889195
arg_0bbb30f0c08d9f1f,baseline,0.0,True,1.0,qwen25_3b,26,0.0905685321108138
arg_0bbb30f0c08d9f1f,user_like,0.0,True,1.0,qwen25_3b,26,0.6851119571864016
arg_0bbb30f0c08d9f1f,user_dislike,0.0,True,0.0,qwen25_3b,26,-1.12188214581365
arg_0c91c3ccb9d5ca0a,baseline,0.0,True,1.0,qwen25_3b,26,0.0373156978827054
arg_0c91c3ccb9d5ca0a,user_like,0.0,True,1.0,qwen25_3b,26,0.615808748868777
arg_0c91c3ccb9d5ca0a,user_dislike,0.0,True,0.0,qwen25_3b,26,-1.4100763780876215
arg_0ceb7abe08d38f06,baseline,0.0,True,1.0,qwen25_3b,26,0.580558514687059
arg_0ceb7abe08d38f06,user_like,0.0,True,1.0,qwen25_3b,26,0.983920284959326
arg_0ceb7abe08d38f06,user_dislike,0.0,True,0.0,qwen25_3b,26,-0.3938767818033058
arg_0d5cb11766fa71d0,baseline,0.0,True,0.0,qwen25_3b,26,-1.791177074368293
arg_0d5cb11766fa71d0,user_like,0.0,True,0.0,qwen25_3b,26,-0.9994382880460686
arg_0d5cb11766fa71d0,user_dislike,0.0,True,0.0,qwen25_3b,26,-1.3563722448257938
arg_0d651e3f73b314ac,baseline,0.0,True,0.0,qwen25_3b,26,-1.4040594190386568
arg_0d651e3f73b314ac,user_like,0.0,True,0.0,qwen25_3b,26,-0.6675474672892279
arg_0d651e3f73b314ac,user_dislike,0.0,True,0.0,qwen25_3b,26,-1.5017208311027317
arg_0e5eded7aed6d3f1,baseline,0.0,True,0.0,qwen25_3b,26,-2.6954440899054277
arg_0e5eded7aed6d3f1,user_like,0.0,True,0.0,qwen25_3b,26,-2.1533226691318075
arg_0e5eded7aed6d3f1,user_dislike,0.0,True,0.0,qwen25_3b,26,-1.8716218424008573
arg_102ab2fbcd908afb,baseline,0.0,True,0.0,qwen25_3b,26,0.1739691055263872
arg_102ab2fbcd908afb,user_like,0.0,True,1.0,qwen25_3b,26,1.2570410993903498
arg_102ab2fbcd908afb,user_dislike,0.0,True,0.0,qwen25_3b,26,-1.6500025448732962
arg_106ade9345f80e86,baseline,0.0,True,1.0,qwen25_3b,26,-1.217279142012039
arg_106ade9345f80e86,user_like,0.0,True,0.0,qwen25_3b,26,-2.133960269107341
